Project ID #,Name of Project,Latitude,Longitude,Data Source,Watershed /Stream,Start date,End date,Name of Organizations,Total Cost:,Funding source,Logging Data,Type of Watershed Degradation,Ecosystem Type,Land owners,Target species,Restoration goals,Upslope Restoration Methods,Riparian Restoration Methods,Fluvial Restoration Methods,Monitoring data available?,Map Reference #,Output Estimates,Past Work,Future Proposed work
001,Kennedy Watershed ,49.06125,-125.62275,Project Report: https://drive.google.com/file/d/170j_b3HlHhZmSSxx2g06x_8bqCZjX7Ax/view?usp=sharing,"Kenedy/ Kootowis, Hospital, Sandhill, Staghorn, Trestle South, Trestle, Indian/Harold, Lostshoe, and Salmon. ",2005,Ongoing,Central Westcoast Forest Society,,,"Most of the logging in the Kennedy Flats area occurred during the 1950’s and 1960’s, with some additional logging in the 1970’s and 1980’s. ","Decaying logging roads with collapsed culverts and bridges, coupled with cross spanning logging debris and residual shake spall from the salvage loggers has resulted in severely degraded
fish habitat. Vast areas of the Kennedy Flats streams are literally plugged with woody debris affecting fish passage (creating barriers in many cases), water quality, and hydrology.
The high concentration of woody debris areas act as semi-permeable dams, flooding large tracts of forest land. The water quality is especially poor during the summer months as the flood plain creates increased surface area for solar radiation, resulting in increased water temperature to near critical levels and lowers dissolved oxygen content. The flood plains create a poor growing site for conifer tree species, resulting in poor cover and further exacerbating the water quality problem. Slower water flow has failed to keep spawning beds clean of settled organics, making quality spawning sites the most limiting factor for fish production. Ironically, the clustered woody debris segments of the Kennedy Flats streams have resulted in the interception of natural Large Woody Debris (LWD) recruitment, causing many segments of creeks between the debris clusters to be
LWD deficient, resulting in lengthy sections of stream without needed
complexing.", Coastal Western Hemlock biogeoclimatic (BEC) zone,"Kennedy Flats includes the traditional territory of the Tla-o-qui-aht, and Ucluelet First Nations.  Tenure includes Parks Canada (PC), BC Parks (BCP), Tree Farm License 54 held by Interfor (INT), Tree Farm License 44 held by IISAAK (IIS), the Regional District landfill site, and some small patches of private land owned primarily by Interfor and Weyerhaeuser.","Coho Salmon (Oncorhynchus kisutch),  Chum Salmon (Oncorhynchus keta), Chinook Salmon (Oncorhynchus tshawytscha), Pink Salmon (Oncorhynchus gorbuscha), and Sockeye Salmon (Oncorhynchus nerka), Steelhead Trout (Oncorhynchus mykiss), Resident and sea-run Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss). Lamprey, Stickleback, and Sculpin (FISS Fish Distribution for Waterbody(ies)).","- Address unstable logging roads
- Re-establish natural steam flow patterns ","- Road deactivation: Deactivation of the highest risk roads are completed first, working consecutively towards, but not necessarily including, the lower risk roads. 
","- Landslide Revegetation via bio-engineering, using live willow cuttings to hand build living, self-maintaining, retaining walls. Live Gully Breaks (LGB),  Modified Brush Layer (MBL), Live Pole Drain (LPD) 

- Open slope failures are hydro-seeded with a mixture of grass seed (native seed when available), slow release fertilizer, and mulch. 

- Strong focus on developing a new, uneven aged coniferous riparian zone.
","- Creation of pools, riffles and glides by installing structures in-stream made of LWD and/or rock.
- Removal of SWD and re-orientation of existing LWD
- Maintenance, monitoring and addition of LWD in deficient areas
- Addition of spawning gravel in deficient areas",There are annual reports from 2005 until now,001_CWFS_Kennedy,,,
002,Upper Kennedy River Side Channel and Stump Creek Side Channel,49.177566,-125.396895,Project Report: https://drive.google.com/file/d/14CDH7OzIbWmBmmB3r9k5MZcTCRri2h_g/view?usp=sharing,"Upper kennedy/ Kenedy River
Stump Creek/ Kennedy River",1999,2000,"Northwest Ecosystem Institute (NEI)- Partners:  Tla-o-qui-aht First Nation
Fisheries and Oceans Canada
MacMillan Bloedel Ltd.
CentralWestcoast Forest Society
Thornton Creek Enhancement Society","$89,957",,Extensive logging in the upper Kennedy River watershed has led to severe deterioration of salmon spawning and rearing habitats in both the upper Kennedy River side channel and the Stump Creek side channel.,"In the upper Kennedy side channel, aggraded
sediments have reduced habitat conditions to the point where little or no water flow exists.
In the Stump Creek side channel, degraded
substrate has created paved conditions across much of the 650 m channel length. This side channel experiences peak flood conditions (1:50) where discharge reaches 250 m3.",,,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch),  Chinook Salmon (Oncorhynchus tshawytscha), and Steelhead Trout (Oncorhynchus mykiss),sockeye (O.nerka),  and pink
(O. gorbuscha) salmon; Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char","Restoration activities on the upper Kennedy side channel included channel complexing with single and
multiple LWDstructures, bank stabilization, rock
/ riffle construction, revegetation, intake control
and water system testing and site cleanup.
Restoration activities on the Stump Creek
side channel included construction of a single multiple LWD structure to support scour in an accompanying excavated pool.",,,"Upper Kennedy Side Channel
• Complexing with the addition of > 200 LWD
positioned (in some cases cabled together)
instream and on banks as multiple structures
or as single deflectors.
• 12 rock/riffle structures to support upstream
pools and downstream riffles.
• 10 boulder placements in the channel for
cover.
• 7 banks stabilized with rip-rap.
• Banks revegetated with seeding and conifer
and willow (Salix spp.) plantings.
Stump Creek Side Channel
• Excavation of a 15 m x 7 m x 2.5 m pool.
• Placement of excavated boulder material on
right bank.
• Construction of a cabled 8 piece multiple
LWDstructurewith 6 rocks cabled for ballast.","Surface water flow was opened into the upper
Kennedy side channel on September 17th, 1997.
Northwest Ecosystem Institute, and Fisheries and
Oceans Canada supported monitoring to the
channel during 1997 and again a portion in 1998/
99. In the upper Kennedy side channel
approximately 1250 m of channel was actively
restored to functional salmon habitat and an
additional 2000mof wetted channel was created
by continuous surface flow opened from the
upper channel.",,,"During 1997, the upper 1250 m of the side channel was excavated to grade and an intake control structure was installed to support controlled flows from the Upper Kennedy River.  Flood protection was constructed in 1997, in the form of set-back dykes.","ProposedWorks KennedyWatershed 1999
Monitoring and limited maintenance activities
are scheduled for 1999 and will include:
• data logger download and maintenance;
• monitoring of bank stability and bank
revegetation success;
• monitoring and maintenance of LWD
structures and rock riffles; and
• monitoring juvenile and adult salmon habitat
use."
004,Comference Creeks,49.040806,-125.511944,Project Report: https://drive.google.com/file/d/1zQ6OzTK9jSs5TRi-NYeFUA1kKxhNYqZK/view?usp=sharing,Kennedy Flats Watershed/ Conference Creek ,2015,2015,"Central Westcoast Forest Society, Ministry of Transportation and Infrastructure (MOTI)",,,,"Water channels which would have once had productive aquatic ecosystems are no longer accessible due to hung or collapsed culverts and many creeks within the area have been rerouted, dewatered, or replaced with featureless ditches. In other cases streams have become the recipient of an increase in flow, overwhelming the channel and leading to flooding in the surrounding area.
", Coastal Western Hemlock biogeoclimatic (BEC) zone,"Tla-o-qui-aht First Nation traditional territory, Haa’uukmin Tribal Park, Kennedy Lake Provincial Park, and within Iisaak Forest Resources TFL 57","Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), and Sockeye Salmon (Oncorhynchus nerka)","Restore ecological integrity and habitat connectivity, improving wildlife habitat, and helping rebuild wild salmon and trout populations.",,"- 125 trees and 105 shrubs were planted on the access trail and along stream banks 
- Spawning gravel, ample large woody debris, shrubs, herbs and trees were added to the new channels created","- Two undersized, collapsed and hung culverts were replaced with a with one concrete box culvert
-  Three large refuge pools were constructed to increase pool frequency and improve overwinter habitat for juvenile fish
- 7 pieces of LWD were added to the pools to further increase hiding areas for juveniles
- 240 m of logging road was deactivated
- two new channels were created upstream and downstream","Water temperature and dissolved oxygen concentrations were monitored and recorded throughout the duration of the stream restoration project
",,,,
005,Ah'ta'apq Creek,49.380556,-126.271361,Website: https://clayoquot.org/ahtaapq-creek,Ah'ta'apq/ Ah'ta'apq Creek,Early 2000's,Ongoing,"Central Westcoast Forest Society, Hesquiaht First Nation and Ahousaht First Nation with support from the Department of Fisheries and Oceans, the Pacific Salmon Foundation and the Clayoquot Biosphere Trust and BGC Engineering.",,"TD Friends of the Environment Foundation, Coca-Cola foundation, Patagonia, World Wildlife Fund, Tree Canada ",Intensive industrial logging has occurred in this area since the 1950’s ,"logging activities have weakened the slopes surrounding the creek, causing persistent landslides. The accumulation of rock debris has buried the channel, resulting in the loss of habitat features,  subsurface flows, extensive bank erosion  and channel widening. Impacts of landslide activity have been compounded by timber harvest of the riparian surrounding Ah’ta’apq creek which has simplified the stream side forest, destabilized stream banks and halted the natural recruitment of large woody debris into  the system.", Coastal Western Hemlock biogeoclimatic (BEC) zone, Ahousaht First Nation's territory and is close in proximity to the Hesquiaht First Nation village at Hot Springs Cove.,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch),  Steelhead Trout (Oncorhynchus mykiss), Rainbow Trout (Oncorhynchus mykiss). coastal Cutthroat Trout (Oncorhynchus clarkii clarkii)",The Ah’ta’apq Creek Restoration Project was initiated to restore fish habitat and increase the health and productivity of these wild fish populations. ,- Bioengineering techniques were used to stabilize active or high risk slides in the watersheds,- Thinning red alder and planting 2000+ native conifers along the bank of the lower river.,"- Built a sediment catchment sump which to collect rock and debris as it moves downstream
- 15 log and boulder structures were built, designed to promote channelization and pool formation while decreasing bank erosion and providing cover habitat. ",,,,,
007,Effingham River,49.099694,-125.211222,website: https://clayoquot.org/effingham,"The watershed is 6,120 ha in size and is comprised of three main sub-basins11. Two third order headwater sub-basins, sub-basin 1 (Effingham Lake – 1521 ha) and sub-basin 2 (Upper Effingham River 815 ha) join to form the lower fourth order sub-basin 3 (main Effingham River sub-basin). ",2017,Ongoing,"Central Westcoast Forest Society, the Yuułuʔiłʔatḥ First Nation",,,Most of the area was logged between 1950s and 1960s,"many of the streams in the area have reduced fish access, poor water quality and altered hydrological function.  The mainstem channel has experienced accelerated rates of erosion and sediment as a result of streamside logging. Bank erosion, elevated channel bars with steep downstream faces, and channel aggradation are evident at different locations.",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Chum Salmon (Oncorhynchus keta), and Coho Salmon (Oncorhynchus kisutch), ",,,,- constructing new spawning and nursery habitat on a highly degraded stretch of this river.,,,,,
008,Tranquil Creek,49.256167,-125.658194,Website: https://clayoquot.org/tranquil,Tranquil/ Tranquil Creek,2016,Ongoing,"Central Westcoast Forest Society, Tla‐o‐qui‐aht First Nation",,"Department of Fisheries and Oceans, Ocean Outfitters, the Clayoquot Biosphere Trust, and in-kind support from the Tofino Resort and Marina, Clayoquot Salmon Roundtable and the Nuu-chah-nulth Tribal Council.  ",Industrial scale logging began in Tranquil Creek watershed in the 1960s and lasted to the mid 1990’s.,"destabilized stream banks and loss of natural LWD recruitment. Upslope instability and resulting landslides caused by harvesting and road building practices in the upper watershed.  Channel instability, limited large woody debris, extensive bank erosion, lack of off channel habitat, limited cover overhead and in-stream, limited pool frequency, bedload movement, presence of fines in substrate composition",Coastal Western Hemlock biogeoclimatic (BEC) zone,located within the territory of the Tla‐o‐qui‐aht First Nation.,"Chinook Salmon (Oncorhynchus tshawytscha), Coho Salmon (Oncorhynchus kisutch), and Chum Salmon (Oncorhynchus keta), Pink Salmon (Oncorhynchus gorbuscha), Sockeye Salmon (Oncorhynchus nerka), and sea-run rainbow and coastal Cutthroat Trout (Oncorhynchus clarkii clarkii).",Aid in the recovery of local wild salmon populations. ,,"- Construction of “bar-top” jams to catch fine sediments, stabilize active gravel bars and promote vegetation growth.
- native tree planting and live-willow staking will aid in bank stabilization and speed up natural forest recovery process.
- 30,000 alder,10,000 native conifers, 500 native shrubs planted"," channel excavations and the construction of  engineering log jams, these works are designed to restore natural riffle/pool sequences, mitigate erosion and bed load movement while increasing habitat complexity. ",,,"8 in-stream structures and 8 bar-top structures have been built along with 30,000 alder,10,000 native conifers, 500 native shrubs planted during the first phases of restoration. ",,
009,Hydro Hill Creek Watershed,49.111944,-125.430167,Website: https://clayoquot.org/hydro-hill-watershed,Hydro Hill Creek/ Hydro Hill Creek,,,"Central Westcoast Forest Society, Tla‐o‐qui‐aht First Nation",,"Parks Canada, Environment Canada, Department of Fisheries and Oceans, Province of British Columbia, ",Industrial scale logging that took place in this area from 1950 to 1990,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), Dolly Varden, and Rainbow Trout (Oncorhynchus mykiss).",,,"Restoring the recovery of old growth characteristics in second-growth forest
Reduce stream bank erosion, increase infiltration, and improve water quality by planting for biodiversity, to create cover, shade, and refuge from predators.","Restoring flows and low water habitat
- Providing improved spawning and rearing habitat as well as mitigate fish mortalities due to proximity to the road
- Creating wetted habitat, and maintaining flows to secondary drainages","Escapement counts, monitor health and growth of indigenous tree / shrub species, minding woody debris placement",,,,
010,Conuma River Side Channel,49.79725,-126.417389,Website:  https://www.nootkasound.info/conuma-river-side-channel ,Conuma River/ Conuma River,2007,2015,"Nootka Sound Watershed Society, in partnership with Fisheries and Oceans Canada",,"Grieg Seafood
Western Forest Products (FIA)
Mowachaht/Muchalaht First Nations
Ministry of Transportation and Infrastructure
Pacific Salmon Foundation
Department of Fisheries and Oceans
Living Rivers",,"Logging and road building in the watershed has resulted in reduced fish access,  loss of habitat, poor water quality and altered hydrological function all of which  have been contributing to declining salmonid populations.
Forest harvesting in the upper watershed had caused changes to the hydrologic regime in the Conuma watershed, resulting in very low success rates of wild salmon spawning in the river. ",Coastal Western Hemlock biogeoclimatic (BEC) zone,,,Change the hydrologic regime in the Conuma watershed to increase Salmon habitat ,,,"Phase 1 - 920m long groundwater channel which created a wetted area of 7620m2. 
Phase 2 - (June 1st, 2010)The construction of a 275m upper channel, which connected the lower 920m of groundwater channel to the Conuma River Hatchery’s surface water outflow for a total length of 1195m. This connection provided controlled and therefore more stable rearing conditions in the lower channel.","A five year monitoring program concluded that the Conuma River Side Channel project had successfully created suitable Coho rearing habitat. Hatchery staff report seeing adult Chum, Coho and Chinook salmon in the channel every fall",,,,
011,Nimpkish River,50.567361,-126.984306,Project Report: https://drive.google.com/file/d/1XAq_-zDav7yZHQn8VMUsoYRvJa7TwEm3/view?usp=sharing,Nimpkish River/ Nimpkish River,1997,Ongoing,"Canadian Forest Products Limited (CFP), the 'Namgis First Nation and the International Woodworkers of America (IWA)",,The Forest Investment Account (FIA) with additional funding provided by DFO and the Pacific Salmon Endowment Fund,, - Channel widening as the result of fan and watershed harvesting ,,"Traditional territories of the 'Namgis First Nation, Canadian Forest Product’s Tree Farm License #37",,,"- Road and slope stabilisation and rehabilitation, 
- Road deactivation,",,"- Lake and stream fertilisation 
- Bank stabilization:   installing LWD structures along the eroding section of bank – a long lateral log jam and a downstream LWD structure.
- Log jam removal
- stream channel and fish habitat restoration. ",,,,,
012,Lower Cave Creek,50.700639,-127.808278,Project Report: https://drive.google.com/file/d/16n_fcaoll4oUEPdZyUQ2sllpZynnJthl/view?usp=sharing,Nahwitti River/ Cave Creek,2005,2006,Pacificus Biological Services Ltd,,,"The Cave Creek system has been impacted by historical log harvesting practices.
","- Lateral erosion was observed on the mainstem, and large amounts of sediment had accumulated in the channel. 
- The instability of the mainstem reduced the presence of pool habitat critical as overwintering habitat. ",,,Several species of anadromous salmonids.,"Prevent further erosion, provide bank support, deflect water, create scour and lead to the formation of a large pool habitat to contribute to fish habitat.
",,,"- Channel modifications 
- Placement of instream structures (LWD backfilled and cabled into place, large boulders were placed upstream to provide further support to the structure and to deflect water flow)
- Instream Structures set in place to prevent erosion, provide bank support, deflect water, create scour and lead to the formation of a large pool.",,"012_Lower Cave Creek
012_Lower Cave Creek-02",,,
013,San Juan Watershed Restoration - Lower Hemmingsen River,48.624222,-124.24175,Project Report: https://drive.google.com/file/d/1Si9_N4_lNWNOGuUzY5PzoxXYB9y7eSdp/view?usp=sharing,Hemingsen Creek/ San Juan,1997,1997,"Black Label Consulting, Madrone Consulting",,,Logged between 1960 and 1975,,,,,"- Slope Stability
- Water management","- Mechanical Retrival of Sidecast fills
- Removing all metal and wood drainage structures
- Prepare soils for successful crop tree reforestation","- Revegetation using willows and alder where required
- Revegetation of disturbed soils with grass and legume seed mixes",• Sediment and debries removal,,,,,
014,"
Nanaimo River",49.094889,-124.188833,Project Report: https://drive.google.com/file/d/1OTLb_AEbD5HaJay3nj6oUloUJhHlcxdD/view?usp=sharing,Nanaimo / Nanaimo River,2003,,"BC Conservation Foundation, Habitat Conservation Trust Fund, Ministry of Water, Land and Air Protection ",,"Habitat Conservation Trust Fund, Timber West",,,,,Steelhead Trout (Oncorhynchus mykiss),Increasing availability and quality of spawning habitat.,,,"- Install 150 m3 of suitable gravel in one location on the south side (right bank) of the Second Lake outlet channel to create anestimated 240 m2 of spawning habitat. 
- Install 250 m3 of suitable gravel in three locations immediately
downstream of South Fork Dam in locations that will provide immediate spawning benefit and allow for gravel recruitment to suitable areas downstream.
",,015_Nanaimo River,,,"Additional gravel sites throughout the South Nanaimo River should be investigated. 
As with this project, future gravel additions should be considered a maintenance measure to offset the cessation of natural gravel recruitment caused by the South Fork Dam.
Monitoring fish use of installed gravel and downstream displacement of material over time
should be continued."
015,Ash River,49.395417,-125.077889,Project Report: https://drive.google.com/file/d/1OTLb_AEbD5HaJay3nj6oUloUJhHlcxdD/view?usp=sharing,Stamp-Somass/ Ash River,2003,,"BC Conservation Foundation, Habitat Conservation Trust Fund, Ministry of Water, Land and Air Protection ",,"Habitat Conservation Trust Fund, Timber West",,,,,Steelhead Trout (Oncorhynchus mykiss),Increasing availability and quality of spawning habitat.,,,"- Install 400 m3 of suitable gravel in two locations, one on
either side of the lake outlet, to create approximately 665 m2 of spawning habitat. ",,016_Ash River,,,
016,Elk Falls Rearing Channel,50.040611,-125.300306,Project Report: https://drive.google.com/file/d/1JU-WVAMBfFcJprmBoGdmnyTNMdsNszeA/view?usp=sharing,Campbell River/ Elk Falls,1999,2000,"International Forest Products, Fisheries and Oceans Canada","$314,598","BC Hydro BCRP & Campbell River Salmon Foundation.  In kind conrributions by DFO, CSRF and BC Parks","Logging, Sawmill, log booming, shipyard",Industrial uses have lowered the rivers productivity,,,"Coho Salmon (Oncorhynchus kisutch), ",Create additional coho rearing habitat by connecting wetland to the mainstreal,,"- The banks of channell were seeded with grass, ocean spray, red alder, willow, red osies dogwood
- Weirs exposed soil seeded with grasses, salmond berries, alder, sitjka spruce and red oiser dogwood","- 260m of intake channel was constructed
-LWD was placed into chanel and anchored in place
- five Newbury Style weirs were comstructed",,,"- 0.8km of stream work
- 17000m2 of overwintering side channel habitat",,
017,Colonial Creek Instream Works,50.324361,-127.45525,Project Report: https://drive.google.com/file/d/16ME4rjo0zS1HA2UQctd4cZI8FFuhnTji/view?usp=sharing,Colonial Creek/ Colonial Creek,2000,,"Wester Forest Products Limited, Northwest Hydraulic Consultants","$74,519",,Approximately 39% of the watershed has been logged prior the 1940s,"- Lack of salmon habitat 
- Moderate to high rates of bank erosion treatening riparian vegentation ",,TFL 6 managed by Western Forest Products,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Pink Salmon (Oncorhynchus gorbuscha), Sockeye Salmon (Oncorhynchus nerka), Steelhead Trout (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden Char.",Provide cover and rearing habitat for anandromous and resident fishm protect angainst bank erosion and better define pool-riffle sequesnces in the channel,,,- 9 LWD structures were constructed spaced roughly 150m apart to encourage better definition pool-riffle sequencing,,,"Restoration along 0.55km of  channel, along right and left channel banks",,
018,Cypre River Groundwater Channel,49.283417,-125.921417,Project Report: https://drive.google.com/file/d/19ebH1zfoTYCAUQvXoTuLebS0dHQKwcIH/view?usp=sharing,Cypre River/ Cypre River,1997,2000,"Weyerhaeuser, J.A. Taylor & Associates Ltd, FIsheries and Oceans Canada","$155,781",,40% of the Cypre river watershedd has been logged.  26% of that between 1974 and 1985.  Loggin stopped in 1997,"- Increased bedload and associated aggradation on low gradient sections of the river.
-loss of forest cover and road constuction
-loss of overwintering salmon habitat
-Extensive lost of riparing vegetation
- Eliminated supply of high quality LWD",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Salmonoids such as Coho Salmon (Oncorhynchus kisutch),  Rainbow Trout (Oncorhynchus mykiss) and Cutthroat Trout (Oncorhynchus clarkii clarkii).",,,,"Channel excavation required three phases:
1- All organics were stripped and silt out of the swale dow to ground water level
2 - A second pass widen the channel to approximately 6m.
3- The finalpass completed the excavationbdown to the design grade.
- Channel complexing was primarily performed with LWD and brush revetments
- Five artificial undercut banks were constructed using logs,
- Boulders and pacememnts were used to provide interstitial habitat along 500 mts of the channel",,,,,
019,Easy Creek Watershed Restoration,50.131167,-127.324833,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Kayouq Creek/ Easy Creek,2000,2000,"Rupert Wong, Violet Komori and Warren Warting.  Interfor, Kingcome Enhanced Forestry Division (KEFD), Kyuquot Management board (KMB), The KMB consists of Kyuquot/ Checheset First Nations, Interfor, Kyuquot Sound Multi use association, MOF, MELP and IWA Canada.  Other project partners include Komori Wond Environmental, ARTA Consulting, and Streamline Environmental Consulting Ltd.","$89,148",,Forestry development in Easy Creek began in the middle 1960's with approximately 40-50% of the watershed logged by 1992.  Approximately 81% of the harvesting and roadbuilding occured before 1988.  70% of the total area logged ocurred bellow 300m impacting sensitive riparian habitat,"-Impasable LWD jam imparing acces for fish habitat
- Degradation of natural riparian vegetation throughout the entire mainstem and lower tributaries .
-Reduction in Long-Term supply of LWD (that would oherwise provide cover, shade and food for rearing salmonids). 
-slope failures (increased peak flows, sediment delivery and channel widening), and mainline road encroachment into mainstem river channel (limiting natural stream meander and fish access to off-channel habitat",Coastal Western Hemlock biogeoclimatic (BEC) zone,"The majority of the watershed is crown land with a small area dedignated ""Indian Reserve"" on the north side of the estuary",Juvenile Salmonids,Increase productivity and survival of overwintering juvenily salmonids by developing stable off-channel rearing habitat and stable LWD cover structures in the mainstream channel,,,"In the first year a total of 10 manistem LWD structures were completed. 
-Excabation of a small alcove (100m2) complexed with LWD",,021_EasyCreek,In 2000 a total of 88 pieces of LWD were used to construct 10 features om Easy Creek,"Reconizance work in 1994 highlighted the impacts to fish habitat including a log jam.
A 1999 fish habitat and hydrology assesment document excisting impacts of forestry development on fish habitat","- Continued Monitoring
-continued riparian restoration
-Increase amoung of stabel overwintering haibtat fror juveile coho by increasing off-channel habitat
-additional LWD features will be added to improve coho and steelhead survival
- Conduct low level nutrient replacement if suitable product is availabel"
