Project ID #,Name of Project,Latitude,Longitude,Data Source,Watershed /Stream,Start date,End date,Name of Organizations,Total Cost:,Funding source,Logging Data,Type of Watershed Degradation,Ecosystem Type,Land owners,Target species,Restoration goals,Upslope Restoration Methods,Riparian Restoration Methods,Fluvial Restoration Methods,Monitoring data available?,Map Reference #,Output Estimates,Past Work,Future Proposed work
020,Keogh River Riparian Restoration,50.669417,-127.352167,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Keogh River/ Keogh River,2000,2000,"Phase 1: Pat Slaney and Lloyd Borroughs, Ministry of Environment, Lands and Parks, B.C Conservation FOundation, and Western Forest Products Ltd, Port McNeill Division
Phase 2: V.A Poulin and E. Gagné, Western Forest Products Ltd, Kwakiutl First Nation and Quatsino FIrst Nation","Phase 1: $137,800
Phase 2: $47,075",,Logging occurred in the 1970's,"Mainstream lacking fish habitat complexity, particulary LWD
- Lacking off-channel habitats as overwintering regufes for stream-rearing salmonoids",Coastal Western Hemlock biogeoclimatic (BEC) zone,Western Forest Products,"Coho Salmon (Oncorhynchus kisutch), and Dolly Varden char","Replace fish habitat affected by past streambank forrest harvesting
Augment limiting off-channel (wetland) refuges for coho salmon and Dolly Varden char
-speeding recovery of forest attributes needed for fish habitat, water quality and channel stability",,"-Improve diameter growth and species composition of conifer and dicidouos trees by thinning and brushing
- Advance conifer regeneration by removing alder overstory or managing for mixed wood
- Utilize standing conifers to create river structure 
- Reduce wondthrow hazard of riparian trees by early spacing and thining
- Modified a component of trees to use by birds bats and small mammals by topping prunning","57 fish habitat structures were instaled in the lower river. structures included:
- 28 Boulder Clusters within riffles
-20 lateral triangular LWD structures
- six boulder riffles
- two debris spurs
-one 2 -log deflector
two ponds were excabated to create overwintering habitat",,,,Habitat complexity was restored in 1998,
021,Keogh River Instream and Off-channel Restoration,50.660288,-127.35649,Watershed Restoration Project Report:https://drive.google.com/file/d/1ea-QJUUNxjV6VaW-9yWB7-pkVb0Xm7BC/view?usp=sharingg,Keogh River/ Keogh River,1998,1998,"Ministry of Environment, Lands and Parks, Western Forest Products Ltd., North Island Division.","$156,937",,Logging occurred in the 1970's,,,"The Keogh River lies largely
in Tree Farm License 25, of Western Forest Products Ltd. (WFP),",Salmonids,"1) Restore fish habitat degraded as a result of past
forest harvesting practices, and 
2) instruct restoration professionals on the proper
techniques for assessing and restoring fish
habitat. Restoration activities involved the
placement of LWD structures, boulder clusters,
riffle reconstructions and off-channel habitat
development.",,,"• Instream restoration work involved the creation of new fish habitat and either reconstruct, or increase the productive capacity of past restoration efforts. 
• A total of 68 instream restoration structures were built during the 1998/1999
restoration season.",,,"A total of 68 fish habitat structures were either
installed or improved, creating an estimated 4534
m2 of fish habitat. By applying coho fry and
steelhead juvenile production information
derived by McCubbing and Ward (1997), the
1998/1999 instream restoration component of the
KRWRP has produced enough summer habitat
to accommodate at least 3127 coho fry and 267
steelhead juveniles, annually.","Over the past five years,
Western has supplied restoration materials and
undertaken cross ditching, water bar and
revegetation work at most unstable road and
gully sites.",
022,Lower Klaklakama Creek,50.178379,-126.436553,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Nimpkish River/ Lower Klaklakama Creek,2000,2000,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$10,838",,Timber harvesting began in the 1950's and 44% of the total watershed has been harvested to date,Two large woody debris were preventing fish passage,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  and resident fish species",Clear the woody debri to allow fish passage,,,"- LWD was moved (using hand tools and chainsaw winches) towards the bancks to create two opposing LWD spurs
-Larger Woody pieceswere were cabled together and. attached to the banks or burried on the streambed",,,"FIsh access was provided to approximately 11km of highly productive stream, including two lakes","-Enhancement projects have cleared small woody debris to allow fish passage over the years (Namgis First Naiton, 1978-1982)",
023,Bonanza Creek Debris Jam Removal,50.470111,-126.817111,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Kokish River/ Bonanza Creek,2000,2000,"Brad Johnson, TFL FOrest Ltd., EBA Engineering COnsultants Ltd., Nimpkish FIrst Nation","$42,000",,,Debri jam located at the outlet of Bonanza lake,Coastal Western Hemlock biogeoclimatic (BEC) zone,,,Open a channel through the debri jam to allow fish passage into Bonanza Lake and upstream habitat,,,- Wood was cleared from the debris jam by hand using chaninsaws and a winch.  the wood was freed and floated downstream,,,A total of 280m2 of debris was removed from debris jam,,
024,"Kootowis, Staghorn and Lost Shoe Creek Watershed Restoartion",49.08875,-125.710806,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,"Kootowis Creek/Kootowis Creek
Lost Shoe Creek/ Salmon Creek
Staghorn Creek/ Staghorn Creek",2000,2000,"Scott MacDonald, Dave Clought and Warren Wartting.  International Forest Products, KEFD, Steelhead Society Habitat Restoration Corporation, Central Westcoast Forest Society, Environment Canada, EcoAction 2000 Community Funding Program, and teh Regional Aquatic Management Society (Fisheries Renewal BC","$359,558",,,"Wood waste left from logging and shake cuttings has accumulated in large piles in the stream channels.  This has severely limited salmonid producction.
These log jams are destroying the pool/riffle habitat complex.  They are filling in the wetterd habitat of the creek and impeding fish passage.
THese debris piles have contributed to LWD deficient reaches between jams and large scale flooding of surrounding forestlands",Coastal Western Hemlock biogeoclimatic (BEC) zone,,Salmonids,Remove and/or rearange extensive clusters of logging debris that had blocked or reduced salmonid habitat.,,,"- Remove all of the loose wood debris (SWD)blocking the stream around the Larg Woody Debrisand the to rearange or add LWD if necessary as salmon habitat
- Helicopters were used to remove wood waste from wide floodplains and to add LWD to deficient areas",,,"12,2 km of stream was restored, with an average channel of 5mresulting in an areao of 61,000 m2 ",Staghorn Creek was restored in 1999,
025,"Kootowis, Staghorn, and Lost Shoe Creeks Large Woody Debris Restoration",49.089361,-125.677486,Watershed Restoration Project Report: https://drive.google.com/file/d/1ea-QJUUNxjV6VaW-9yWB7-pkVb0Xm7BC/view?usp=sharing,"Kootowis Creek/Kootowis Creek
Lost Shoe Creek/ Salmon Creek
Staghorn Creek/ Staghorn Creek",1997,,"International Forest Products Ltd.  Dave Clough, Scott MacDonald and Warren
Warttig.","$237,000",,"Logging has been part of the
area for over 100 years, the biggest impacts have come in the late 1970’s and early 1980’s where vast clear-cuts over the tributaries occurred. They left the stream channels of these waterways saturated with both small and large woody debris (SWD and LWD).","Low gradient creeks that have been
impacted by deposition of large amounts of
historic logging debris.",,,,"improvements to fish habitat, stream hydrology,
and riparian function through woody debris
removal, relocation, stabilization, and stream
crossing restoration.",,,"Removal of 3000 m3 of SWD;
- Rlacement of 3500 pieces of LWD instream
anchored with approximately 6000 m of 1/2
inch galvanized cable;
- Fry population and water quality surveys at 6
sites in survey area; and
- Upgrading of 2 critical creek crossings for fish
access (Figs. 1-27 to 1-30).",,,,,"The future work is expected to take place in the
following areas:
• complete restoration of high impact areas on Kootowis Creek and move on to areas in Staghorn and Lost Shoe Creeks;
• additional deactivation at road crossings; continued hydrology, riparian assessment and monitoring."
026,Howlal Creek instream works and Backwater Channel Development,50.41225,-127.352667,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Marble River/ Howlal Creek,2000,2000,"Bruce Walsh, Western Forest Products Limited and Northwest Hydraulic COnsultants Ltd","$45,162",,Most of the timber harvesting happened between 1970 and 2000,It is estimated that 83% of the basin has been haervested to the streambanks,Coastal Western Hemlock biogeoclimatic (BEC) zone,"Howlal Creek is located in TFL 6, managed by Western Forest Product","Coho Salmon (Oncorhynchus kisutch),  Rainbow Trout (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden char",Provide greated channel stability and to increase the amount of fish habitat in the lower reach of the Howlal Creek,,,"• Lateral LWD structures were place at two locations for bank protection. 
• One LWD structure was anchored along a bedrock bank to provide cover for a larre scour pool.  
• Boulder clustes were also placed on two locations.
• Previously constructed structures were improved and some rearanging at four excisting boulders clusters also took place
• The backwater channel initiated in 1999 was lengthened and significantly widened and deepened
• A bern was created with riprap between creek and backwater channel",,,"Restoration were completed along 670m of channel initiated in 1999 and aling additional 130m of newly developed channel.  The backwater channel extends over 90m, with a total area of approximately 1100m2","In 1999, 18 LWD structures were constructed, one rock riffle, excavation of three pools and placement of boulder cluster in 8 location",
027,Mooyah River Side Channel,49.617556,-126.430722,Project Report: https://drive.google.com/file/d/1bxWp52cXEqsdHXxJrseqY3zb-XYI5sPw/view?usp=sharing,Mooyah River/ Mooyah River,2000,2001,"Warren Warttig and Dave Clough.  Internatnional forest Products, Kingcome Enhanced Forestry division and the Regional Aquatic Management Society (Fisheries Renewal BC","$38,000",,,"During the early 1960's several logging-- related landslides impacted the Mooyah Rover. Historic logging has resulted in aggradation, loss of LWD, and Hidrological changes",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch),  Steelhead Trout (Oncorhynchus mykiss), Chinook Salmon (Oncorhynchus tshawytscha),  Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden char",Increase stable rearing area by re-establishing and restoring a historic drainage pattern that had been diverted as a result of a 1960's landslide,,,"- A hoe trail was constructed 20m from the mainchannel, and parallel to the proposed side channel with several short, branching spurs
- Complexity was completed with a combination of LWD and rock  placement by hoe and by hand with turfer jack.
- Anchoring of the structures was through a combination of rock ballast and duckbill anchors",,,A total of 650m of side channel (approximately 700 m2 based on wetted width) and one 200 m2 (22m) rearing pond were constructed.,"Interfor has had an ongoing restoration program in the Mooyah River watershed since 1998,  During 1999-2000 many high risk roads were deactivated iwth the reminder slated for completion in 2001",
028,Pink Creek Instream Restoration,50.438111,-127.007944,Project Report: https://drive.google.com/file/d/1oZVm9n5gSUriGHAoa41DxO6wBYQ37Fut/view?usp=sharing ,Nimpkish River/ Pink Creek,1999,2000,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$56,302",,Logging began in the 1930's and to date approximately 48% of the basin area has been harvested,"Logging has resulted in poor LWD recruitment and increased gravel transport.  This led to sediment accumulation on bars, few pools and bank erosion",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Pink Salmon (Oncorhynchus gorbuscha), Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char",Restoring low and moderate flows to one main channel and in important side channel by adding LWD to create local scour pools and instream cover,,,"On Upper Section on Pink Creek:
- Placed rock and logs on the structures already present
- Built one new log spur
- Excabated a 20m2 off-channel pond
- Removed approximaely 500 m3 of aggraded gravel from10 bars
-Built one rock cluster
In the Lower section 
- Built five spurs in the pools below the upstream - V log steps constructed before
- Excavated a 65 m longside channel
-Removed two log jams to encourage the development of a singel, permanently wetted main channel
- lowered a 10 m long alcove channel to prent it from drying",,,,About 0.9 km of stream channel were restored in 1999. ,
029,Quilla Creek Instream Restoration,50.082917,-126.415194,Project Report: https://drive.google.com/file/d/1oZVm9n5gSUriGHAoa41DxO6wBYQ37Fut/view?usp=sharing ,Nimpkish Creek/ Quilla Creek,2000,2000,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$120,243",,Loggin in the Quilla Creek watershed began in the 1950's.  TO date 51.4% of the watershed area has been harvested with 42.9% of this in the last 30 years,"Parts of the creek banks were logged without riparian buffer.  Through time this reduced instream LWD as well as the future LWD recruitment to the channel
Left bank of a tributary failed and contributed to the coarse material accumulation of the Quila creek.",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch), Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden char",Enlarge pools and add cover to migrating adults and reading juvenile fish in this LWD pool deficient channel,,,"- 43 LWD structures were constructed in existing pools and at the outside of bends to add cover and promoted additional scour
- A helicopter was used to add ballast to the structures once built",,,"0.9km (7,000m2) of channel were restored in 2000",,
030,Vernon Camp Creek Restoration Works,49.994944,-126.432917,Project Report: https://drive.google.com/file/d/1oZVm9n5gSUriGHAoa41DxO6wBYQ37Fut/view?usp=sharing ,Nimpkish River/ Vernon Camp Creek,1999,2000,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$7,558.00",,78% of the Vernon Campo Creek basin has been harvested since the railroad opened the area to logging in the 1950's.  Logging proceded slowly on the lower slopes of the basin until the 1970's when 40% of the basin was logged.  Since 1970's logging has proceded much more slowly on the mid elevation slopes.,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char",Providing additional spawning and rearing habitat.  ,,,"- LWD structures were constructed in the main channel and the excavation of a few low water refuge ponds 
- Work included excavating a series of 1m pools connectid by a narrow channel. 
- A narrow channel was intentionally chosen in a groundwater-fed ditch to increase velocity and reduce the deposition of fine sediment",,,0.25km of low gradient side channel including 10 pools was excavated,,
031,Woodengle Creek Fish Access Restoration,50.251611,-126.800889,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Nimpkish River/ Woodengle Creek,2000,2000,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$13,752",,Loggin began in the 1930's.  To date 54.8% of the total basin has veen harvested but only 0.8% has been harvested in the last 30 years,"A spyder excavator and crew:
- Excavated 200m2 of coarse sediment from the sediment wedge
- Constructe two footwar cribs along the outside of bends to rebuilt low, disturbed banks
- Excabated a small connecting channel between a high value off-channel pond and the main channel
- Constructed an upstream-V Log step for grade control and dowsntream pool scour",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char",Restore year-round flow accross a coarse sediment wedge that had formed upstream of a a ralway culvert following a extreme storm,,,"- Excavates 200m3 of coarse sediment from the sediment wedge
- Constructed two rootward cribs along the outside of bends to rebuild low, distrubed banks
- Excabated a small connecting channel between a high value off-channel pond and the main channel
- Constructed an upstream-V log step for grade control and donstream pool scour",,,0.06 km of channel was restored and access was ensured to a 100m2 off-channel pond,,
032,Oktwanch River Side Channel Development,49.891361,-126.178028,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Oktwanch River/ Oktwanch River,1999,2000,"Bruce Walsh, Western Forest Products Limited and Northwest Hydraulic Consultants Ltd","$209,500",,Most of the riparian areas in the lower Oktwanch River were harvested prior to 1975.,"Timber harvesting in riparian areas have resulted in channel widening, formation of multiltiple channels, aggradation and dewatering of channel along the lower reach.",Coastal Western Hemlock biogeoclimatic (BEC) zone,The Oktwanch River watershed is jintly managed by Canadian Forest Products Ltd (76%) and WFT and the Ministry of Forest (24%),"Chinook Salmon (Oncorhynchus tshawytscha),  Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka), Steelhead Trout (winter run) (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss). ",Increase the amount of fish habitat in the lower reach of the Oktwanch River by developing off-channel spawning and rearing habitat,,,"- Creation of a Growndwater-Fed Channel.
- Material excavated from the channel was used to construct a bern to protect the channel from high water.
- Creation of a Backwater Channel setback about 100m from the mainstream to provide year-round spawning and rearing habitat.
- A high gravel bern was constructed to protected up to the 50yr flood level.",,,"The project created 5,420m2 (1.3km) of high quality off-channel habitat consisting of 260m2 of riffle habitat, 1,895 m2 pool habitat and 3,265m2 of glide habitat",a 1.14km long goundwater-fed spawning channel was constructed on the west floodplaun of the river.,
033,"Oyster River, Arthur Mayse Side Channel",49.8665,-125.153472,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Comox River/ Oyster River,2000,2000,"Nigel Ross and Warren Warting.  International Forest Poducts Ltd (Interfor), Oyster River Enhancement Society (ORES) and Fisheries and Oceans Canada (FOC)","$109,000",,"The Oyster River is a high energy, coastal stream, subject to erratic flow regimes, and bank instability due to historic logging practices.","Factors affecting natural spawning and rearing habitat include heavy flows during winter months, loss of LWD, Increased bedload and high leves of suspended sediment.",Coastal Western Hemlock biogeoclimatic (BEC) zone,,Coho Salmon (Oncorhynchus kisutch),Create a stable spawning and rearing habitat in the lower Oyster River,,,"- The Arthur Mayse Side Channel was constructed measuring 600m long with a wetted area of approximately 5000 m2.  
- The channel is built with structures that salmonids use as habitat.
- Deep pools, shallow bubblind riffles to mix oxigen in the water, undercut banks, boulders and LWD, such as trees and stumps.",,,"This channel can support 10,000 coho fry based on FOC bio-standards of two fry /m2",Over the past 10 years several side channesl have been made in the middle Oyster reaches,
034,Sarita River Watershed Restoration Program,48.890111,-124.994472,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Sarita River/ Sarita River,2000,2000,"Stephan Ochman, Huu-ay-aht First Nation and Weyerhaeuser","$204,500",,Logging along the mainstem in the 1950's and 1960's ledt lettle or not riparian buffer along most of the fish bearing portions of the stream.  SOme areas in the upper watershed suffered from recent (1995) clear cut logging down to the streambank and display serious impairment.,"Looging has impacted stream habitat and riparean areas.  This resulted in channel widdening, channel/bank instability, infilling of pools, reduce surface flow, and loss of LWD through the watershed. ",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Chinook Salmon (Oncorhynchus tshawytscha), Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka), Pink Salmon (Oncorhynchus gorbuscha), Steelhead Trout (winter run) (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char","Improve and create fish havitat for salmonids by building LWD structures, riffles and side channels",,,"• Overall, 140 LWD with and witouth rootwads and some 500 boulders averaging 0.8m in diameter were used to build 37 LWD structures in three reaches.
• All LWD and boulders were airlifted and dropped in possition by a helicopter
•  An excavator was used to build a 150m long extenction side channel
• The bern was seeded and most upstream section of the bern was covered withj curlex matting
• A log jam was mowered by removing small woody debris and placing it on the banks",,,"1.1km of instream work in Sabrina Creek
0.4km of instream work in Hunter Creek
0.5km instream work in South Sarita River
150 side channel was constructed in South Sarita River",,"in 2001, Propossed work include LWD structures in 6 upstream reaches"
035,Zeballos River Side Channel,50.004083,-126.846889,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Zeballos River/ Lower Zeballos River,2000,2000,"Graham Hill and Shannon Anderson.  Village of Zeballos, Zeballos FIsh and Wildlife Association, Ehatessaht Band, Ministry of Environment, Lands and Parks-water management Branck","$177,000",,,,,,"Chinook Salmon (Oncorhynchus tshawytscha), Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka), Pink Salmon (Oncorhynchus gorbuscha),",Develop side channel to provide spawning and rearing habitat for all salmon species,,,"- 750 m side cahnnel was excavated
- a 150 m flood protection dyke was contructed using excavated gravel
- A large armored notched weir was built in the dike to allow natural flood volumes to pass into the channel
- Rip rap was applied to the channel sides and dyke
- The channel features a 40 m island, heavily rock armoured banks several deep side ponds, cut banks, and ballasted cross logs every 25m",,,750m long channel provides about 3500 m2 of wetted habitat,,
036,Quatze River,50.686278,-127.486056,"Website: http://www.quatsehatchery.ca/habitat-restoration
Report: https://drive.google.com/file/d/1L-jRkyfHEpyvw4EG4su4Y8JnHfhmkXfL/view?usp=sharing",Quatse River/ Quatse River,2004,2009,Northern Vancouver Island Salmonid Enhancement Association (NVISEA),"$135,882.28
$31,166.17(2009)","Pacific Salmon Foundation, BHP-Billiton, Habitat Conservation Trust Fund, Greater Georgia Basin Steelhead Recovery Program, Ministry of Transportation, B.C. Hydro, Kwakiutl First Nation, Port Hardy Fish and Wildlife Club and Weyerhaueser. Community in-kind contributions came from Boris the Mechanic, K.Pearson Contracting, RockPro, Spike Top Cedar Products, Mill and Timber Products, JMC Forest Maintenance and the Quatse River Campground.",,,,,"Coho Salmon (Oncorhynchus kisutch), Steelhead Trout (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii) and Rainbow Trout (Oncorhynchus mykiss),","- The rehabilitation designs target primarily the rearing and overwintering habitats of salmonids.
Secondarily, the structures will stabilize the channel and reduce erosion.
- In 2009 Maintenance of previous restoration work and erosion control works, with the addition of LWD and ballast rock groyne structures, to protect structures previously constructed in 2005.",,,"• 168 LWD pieces, 63 rootwads and 411 boulders were added to enhance salmon habitat in the Quatse River.
•  In 2009 32 pieces of LWD and 74 ballast boulders, used to construct six LWD and ballast boulder fish habitat and bank protection structures.",,,"This project created approximately 13,570 square metres of enhanced habitat",,
037,Nixon Creek Off-channel Habitat,48.886948,-124.386193,Watershed Restoration Project Report: https://drive.google.com/file/d/1ea-QJUUNxjV6VaW-9yWB7-pkVb0Xm7BC/view?usp=sharing,Cowichan River/ Nixon Creek,1997,1998,"Ministry of Environment, Lands and Parks.","$74,564.00",,,"The salmonid habitat degradation ofNixon Creekis not unique in the Cowichan Valley, which hasbeen impacted by decades of logging. Most ofthe watershed was logged about 40 years ago.Logging was conducted for the most part, to thestream’s edge, with no streamside buffersmaintained. Overall, logging has caused anincrease in the magnitude of flood flow rateswhich has accelerated bank erosion and causedexcess gravel to be deposited in the lower reachesof the creek. Because of this aggradation, creeksections experience subsurface flow for up tothree months of the year. For fish, the result is adecrease in stable spawning and rearing habitat,both in the mainstem, and in the off-channelhabitat area that becomes inaccessible from themainstem during periods of low flow.",,"A majority of the Cowichan River watershed isprivately owned byTimberwest Ltd. Afew smallblocks through the lower valley are crown land(TFL 46, managed by Timberwest). The areaselected on Nixon Creek for rehabilitation fallswithin the TFL 46 boundary.","Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char(Salvelinus malma), and limited numbers of Steelhead Trout (winter run) (Oncorhynchus mykiss). Cowichan Lake’s tributaries also 
support Coho Salmon (Oncorhynchus kisutch) population that is said to be in decline. Sporadic Chinook Salmon (Oncorhynchus tshawytscha)","To increase stable off-channel habitat forspawning and rearing salmonids, by extendingand complexing existing flood and relic sidechannel habitat on Nixon Creek.",,,"• In 1997 a 150 m test channel was excavated. This channel was built to
a width of 3-5 m, and a depth of 2-3 m.  
• In 1998 the channel was extended upstream an additional 175 m.  
• A 75 m secondary channel was also built for a total project length of 400 m and area of about 1400 m2.
• Both channels were heavily complexed with large woody debris. 
• Approximately 175 rootwads were imported from a nearby clear-cut logged area, and placed in the channels to provide woody debris habitat for salmonids.",,,"Approximately 1400 m2 of salmonid spawningand rearing habitat was created. At an expecteddensity of 1-3 juveniles perm2, this project couldproduce 1400 to 4200 juvenile salmonidsannually.",,
