Project_ID_#,Name_of_Project,Latitude,Longitude,Data_Source,Watershed/Stream,Start_Date,End_Date,Lead_Organizations,Partner_Organizations,Total_Cost,Funding_Source,Logging_Data,Type_of_Watershed_Degradation,Ecosystem_Type,Land_Owners,Target_Species,Restoration_Goals,On_Land_Restoration_Methods,In_Stream_Restoration_Methods,Monitoring_Data,Map_Reference_#,Output_Estimates,Past_Work,Future_Proposed_work
20,Keogh River Riparian Restoration,50.669417,-127.352167,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Keogh River/ Keogh River,2000,2000,"Ministry of Environment, Lands and Parks, B.C Conservation Foundation, Kwakiutl First Nation and Quatsino FIrst Nation","Pat Slaney and Lloyd Burroughs, Western Forest Products Ltd, Port McNeill Division, V.A Poulin and E. Gagn√©, ","Phase 1: $137,800
Phase 2: $47,075",Watershed Restoration Program,Logging occurred in the 1970's,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,Western Forest Products,"Coho Salmon (Oncorhynchus kisutch), and Dolly Varden char (Salvelinus malma).",#NAME?,"‚Ä¢ Improve diameter growth and species composition of conifer and deciduous trees by thinning and brushing
‚Ä¢ Advance conifer regeneration by removing alder overstory or managing for mixed wood
‚Ä¢ Utilize standing conifers to create river structure 
‚Ä¢ Reduce windthrow hazard of riparian trees by early spacing and thinning
‚Ä¢ Modified a component of trees to use by birds bats and small mammals by topping pruning","57 fish habitat structures were installed in the lower river. structures included:
‚Ä¢ 28 Boulder Clusters within rifles
‚Ä¢ 20 lateral triangular LWD structures
‚Ä¢ 6 boulder riffles
‚Ä¢ 2 debris spurs
‚Ä¢ 1 two -log deflector
‚Ä¢ two ponds were excavated to create overwintering habitat",,,,Habitat complexity was restored in 1998,
21,Keogh River Instream and Off-channel Restoration,50.660288,-127.35649,Watershed Restoration Project Report: <a href='https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render</a>,Keogh River/ Keogh River,1998,1998,"Ministry of Environment, Lands and Parks, B.C Conservation Foundation.",Western Forest Products Ltd. North Island Division.,"$156,937 ",Watershed Restoration Program,Logging occurred in the 1970's,,Coastal Western Hemlock biogeoclimatic (BEC) zone,"The Keogh River lies largely in Tree Farm License 25, of Western Forest Products Ltd. (WFP),",Salmonids,#NAME?,,"‚Ä¢ Instream restoration work involved the creation of new fish habitat and either reconstruct, or increase the productive capacity of past restoration efforts. 
‚Ä¢ A total of 68 instream restoration structures were built during the 1998/1999 restoration season.",,,"A total of 68 fish habitat structures were either installed or improved, creating an estimated 4534m2 of fish habitat. By applying coho fry and steelhead juvenile production information derived by McCubbing and Ward (1997), the 1998/1999 instream restoration component of the KRWRP has produced enough summer habitat to accommodate at least 3127 coho fry and 267 steelhead juveniles, annually.","Over the past five years, Western has supplied restoration materials and undertaken cross ditching, water bar and revegetation work at most unstable road and gully sites.",
22,Lower Klaklakama Creek,50.178379,-126.436553,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Nimpkish River/ Lower Klaklakama Creek,2000,2000,The Nimpkish Resource Management Board,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$10,838 ",Watershed Restoration Program,Timber harvesting began in the 1950's and 44% of the total watershed has been harvested to date,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  and other resident fish species",Clear the woody debri to allow fish passage,,"‚Ä¢ LWD was moved (using hand tools and chainsaw winches) towards the bancks to create two opposing LWD spurs
‚Ä¢ Larger Woody pieces were were cabled together and. attached to the banks or buried on the streambed",,,"FIsh access was provided to approximately 11km of highly productive stream, including two lakes","-Enhancement projects have cleared small woody debris to allow fish passage over the years (Namgis First Nation, 1978-1982)",
23,Bonanza Creek Debris Jam Removal,50.470111,-126.817111,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Kokish River/ Bonanza Creek,2000,2000,TFL Forest Ltd,"Brad Johnson, EBA Engineering Consultants Ltd., Nimpkish FIrst Nation","$42,000 ",Watershed Restoration Program,,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,,Open a channel through the debri jam to allow fish passage into Bonanza Lake and upstream habitat,,‚Ä¢ Wood was cleared from the debris jam by hand using chainsaws and a winch.  the wood was freed and floated downstream,,,A total of 280m2 of debris was removed from debris jam,,
24,"Kootowis, Staghorn and Lost Shoe Creek Watershed Restoration",49.08875,-125.710806,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,"Kootowis Creek/Kootowis Creek
Lost Shoe Creek/ Salmon Creek
Staghorn Creek/ Staghorn Creek",2000,2000,Central Westcoast Forest Society,"Scott MacDonald, Dave Clough and Warren Warttig.  International Forest Products, KEFD, Steelhead Society Habitat Restoration Corporation, Central Westcoast Forest Society, Environment Canada, EcoAction 2000 Community Funding Program, and the Regional Aquatic Management Society (Fisheries Renewal BC","$359,558 ",Watershed Restoration Program,,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,Salmonids,Remove and/or rearrange extensive clusters of logging debris that had blocked or reduced salmonid habitat.,,"‚Ä¢ Remove all of the loose wood debris (SWD)blocking the stream around the Large Woody Debris And the to rearrange or add LWD if necessary as salmon habitat
‚Ä¢ Helicopters were used to remove wood waste from wide floodplains and to add LWD to deficient areas",,,"12,2 km of stream was restored, with an average channel of 5m resulting in an area of 61,000 m2 ",Staghorn Creek was restored in 1999,
25,"Kootowis, Staghorn, and Lost Shoe Creeks Large Woody Debris Restoration",49.089361,-125.677486,Watershed Restoration Project Report: <a href='https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render</a>,"Kootowis Creek/Kootowis Creek
Lost Shoe Creek/ Salmon Creek
Staghorn Creek/ Staghorn Creek",1997,ongoing,Central Westcoast Forest Society,"International Forest Products Ltd.  Dave Clough, Scott MacDonald and Warren Warttig.","$237,000 ",Watershed Restoration Program,"Logging has been part of the area for over 100 years, the biggest impacts have come in the late 1970‚Äôs and early 1980‚Äôs where vast clear-cuts over the tributaries occurred. They left the stream channels of these waterways saturated with both small and large woody debris (SWD and LWD).",#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,,"improvements to fish habitat, stream hydrology, and riparian function through woody debris removal, relocation, stabilization, and stream crossing restoration.",,"‚Ä¢ Removal of 3000 m3 of SWD;
‚Ä¢ Replacement of 3500 pieces of LWD instream anchored with approximately 6000 m of 1/2 inch galvanized cable;
‚Ä¢ Fry population and water quality surveys at 6 sites in survey area; and
‚Ä¢ Upgrading of 2 critical creek crossings for fish access",,,,,"The future work is expected to take place in the following areas:
‚Ä¢ complete restoration of high impact areas on Kootowis Creek and move on to areas in Staghorn and Lost Shoe Creeks;
‚Ä¢ additional deactivation at road crossings; continued hydrology, riparian assessment and monitoring."
26,Howell Creek instream works and Backwater Channel Development,50.41225,-127.352667,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Marble River/ Howell Creek,2000,2000,Western Forest Products Limited,"Bruce Walsh, and Northwest Hydraulic Consultants Ltd","$45,162 ",Watershed Restoration Program, It is estimated that 83% of the basin has been haervested to the streambanks. Most of the timber harvesting happened between 1970 and 2000. ,,Coastal Western Hemlock biogeoclimatic (BEC) zone,"Surface water flow was opened into the upper Kennedy side channel on September 17th, 1997. Northwest Ecosystem Institute, and Fisheries and Oceans Canada supported monitoring to the channel during 1997 and again a portion in 1998/99. In the upper Kennedy side channel approximately 1250 m of channel was actively restored to functional salmon habitat and an additional 2000m of wetted channel was created by continuous surface flow opened from the upper channel.","Coho Salmon (Oncorhynchus kisutch),  Rainbow Trout (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden char (Salvelinus malma).",Provide greated channel stability and to increase the amount of fish habitat in the lower reach of the Howlal Creek,,"‚Ä¢ Lateral LWD structures were place at two locations for bank protection. 
‚Ä¢ One LWD structure was anchored along a bedrock bank to provide cover for a larre scour pool.  
‚Ä¢ Boulder clusters were also placed on two locations.
‚Ä¢ Previously constructed structures were improved and some rearranging at four existing boulders clusters also took place
‚Ä¢ The backwater channel initiated in 1999 was lengthened and significantly widened and deepened
‚Ä¢ A bern was created with riprap between creek and backwater channel",,,"Restoration were completed along 670m of channel initiated in 1999 and aling additional 130m of newly developed channel.  The backwater channel extends over 90m, with a total area of approximately 1100m2","In 1999, 18 LWD structures were constructed, one rock riffle, excavation of three pools and placement of boulder cluster in 8 location",
27,Mooyah River Side Channel,49.617556,-126.430722,Project Report: <a href='https://osf.io/wp538/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/wp538/?direct%26mode=render%26action=download%26mode=render</a>,Mooyah River/ Mooyah River,2000,2001,,"International Forest Products Limited, Kingcome Enhanced Forestry division and the Regional Aquatic Management Society (Fisheries Renewal BC), Warren Warttig and Dave Clough.","$38,000 ",Watershed Restoration Program,,"- Historic logging has resulted in aggradation, loss of LWD, and Hydrological changes.  During the early 1960's several logging related landslides impacted the Mooyah Rover.",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch),  Steelhead Trout (Oncorhynchus mykiss), Chinook Salmon (Oncorhynchus tshawytscha),  Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden char (Salvelinus malma).",Increase stable rearing area by re-establishing and restoring a historic drainage pattern that had been diverted as a result of a 1960's landslide,,"‚Ä¢ A hoe trail was constructed 20 m from the main channel, and parallel to the proposed side channel with several short, branching spurs
‚Ä¢ Complexity was completed with a combination of LWD and rock  placement by hoe and by hand with turfer jack.
‚Ä¢ Anchoring of the structures was through a combination of rock ballast and duckbill anchors",,,A total of 650m of side channel (approximately 700 m2 based on wetted width) and one 200 m2 (22m) rearing pond were constructed.,"Interfor has had an ongoing restoration program in the Mooyah River watershed since 1998,  During 1999-2000 many high risk roads were deactivated with the reminder slated for completion in 2001",
28,Pink Creek Instream Restoration,50.438111,-127.007944,Project Report: <a href='https://osf.io/ygza7/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ygza7/?direct%26mode=render%26action=download%26mode=render</a>,Nimpkish River/ Pink Creek,1999,2000,The Nimpkish Resource Management Board,"Namgis First Nation, International Woodworkers of america, Canadian Forest Products Ltd., Kenn Rood, Mike Berry, Charley Jancsik, ","$56,302 ",Watershed Restoration Program,Logging began in the 1930's and to date approximately 48% of the basin area has been harvested,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Pink Salmon (Oncorhynchus gorbuscha), Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char (Salvelinus malma).",Restoring low and moderate flows to one main channel and in important side channel by adding LWD to create local scour pools and instream cover,,"On Upper Section on Pink Creek:
‚Ä¢ Placed rock and logs on the structures already present
‚Ä¢ Built one new log spur
‚Ä¢ Excavated a 20m2 off-channel pond
‚Ä¢ Removed approximately 500 m3 of aggraded gravel from 10 bars
‚Ä¢ Built on rock cluster
In the Lower section 
‚Ä¢ Built five spurs in the pools below the upstream - V log steps constructed before
‚Ä¢ Excavated a 65 m longside channel
‚Ä¢ Removed two log jams to encourage the development of a single, permanently wetted main channel
‚Ä¢ lowered a 10 m long alcove channel to prevent it from drying",,,,About 0.9 km of stream channel were restored in 1999. ,
29,Quilla Creek Instream Restoration,50.082917,-126.415194,Project Report: <a href='https://osf.io/ygza7/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ygza7/?direct%26mode=render%26action=download%26mode=render</a>,Nimpkish Creek/ Quilla Creek,2000,2000,The Nimpkish Resource Management Board,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$120,243 ",Watershed Restoration Program,Logging in the Quilla Creek watershed began in the 1950's.  TO date 51.4% of the watershed area has been harvested with 42.9% of this in the last 30 years,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch), Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden char (Salvelinus malma).",Enlarge pools and add cover to migrating adults and reading juvenile fish in this LWD pool deficient channel,,"‚Ä¢ 43 LWD structures were constructed in existing pools and at the outside of bends to add cover and promoted additional scour
‚Ä¢ A helicopter was used to add ballast to the structures once built",,,"0.9km (7,000m2) of channel were restored in 2000",,
30,Vernon Camp Creek Restoration Works,49.994944,-126.432917,Project Report: <a href='https://osf.io/ygza7/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ygza7/?direct%26mode=render%26action=download%26mode=render</a>,Nimpkish River/ Vernon Camp Creek,1999,2000,The Nimpkish Resource Management Board,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$7,558.00 ",Watershed Restoration Program,78% of the Vernon Campo Creek basin has been harvested since the railroad opened the area to logging in the 1950's.  Logging proceed slowly on the lower slopes of the basin until the 1970's when 40% of the basin was logged.  Since 1970's logging has proceeded much more slowly on the mid elevation slopes.,LWD and pool deficient stream.,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char (Salvelinus malma).",Providing additional spawning and rearing habitat.  ,,"‚Ä¢ LWD structures were constructed in the main channel and the excavation of a few low water refuge ponds 
‚Ä¢ Work included excavating a series of 1 m pools connected by a narrow channel. 
‚Ä¢ A narrow channel was intentionally chosen in a groundwater-fed ditch to increase velocity and reduce the deposition of fine sediment",,,0.25km of low gradient side channel including 10 pools was excavated,,
31,Woodengle Creek Fish Access Restoration,50.251611,-126.800889,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Nimpkish River/ Woodengle Creek,2000,2000,The Nimpkish Resource Management Board,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$13,752 ",Watershed Restoration Program,Loggin began in the 1930's.  To date 54.8% of the total basin has been harvested but only 0.8% has been harvested in the last 30 years,Sections of the Woodengle creek have filled up with very coarse material to its banks and water flow subsurface during low flows,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char (Salvelinus malma).",Restore year-round flow across a coarse sediment wedge that had formed upstream of a railway culvert following a extreme storm,,"‚Ä¢ Excavates 200m3 of coarse sediment from the sediment wedge
‚Ä¢ Constructed two rootward cribs along the outside of bends to rebuild low, disturbed banks
‚Ä¢ Excavated a small connecting channel between a high value off-channel pond and the main channel
‚Ä¢ Constructed an upstream-V log step for grade control and downstream pool scour
",,,0.06 km of channel was restored and access was ensured to a 100m2 off-channel pond,,
32,Oktwanch River Side Channel Development,49.891361,-126.178028,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Oktwanch River/ Oktwanch River,1999,2000,Western Forest Products Limited ,"Bruce Walsh, and Northwest Hydraulic Consultants Ltd","$209,500 ",Watershed Restoration Program,Most of the riparian areas in the lower Oktwanch River were harvested prior to 1975.,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,The Oktwanch River watershed is jointly managed by Canadian Forest Products Ltd (76%) and WFT and the Ministry of Forest (24%),"Chinook Salmon (Oncorhynchus tshawytscha),  Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka), Steelhead Trout (winter run) (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss). ",Increase the amount of fish habitat in the lower reach of the Oktwanch River by developing off-channel spawning and rearing habitat,,"‚Ä¢ Creation of a Groundwater-Fed Channel.
‚Ä¢ Material excavated from the channel was used to construct a berm to protect the channel from high water.
‚Ä¢ Creation of a Backwater Channel setback about 100m from the mainstream to provide year-round spawning and rearing habitat.
‚Ä¢ A high gravel bern was constructed to protected up to the 50yr flood level.",,,"The project created 5,420m2 (1.3km) of high quality off-channel habitat consisting of 260m2 of riffle habitat, 1,895 m2 pool habitat and 3,265m2 of glide habitat",a 1.14km long groundwater-fed spawning channel was constructed on the west floodplain of the river.,
33,"Oyster River, Arthur Mayse Side Channel",49.8665,-125.153472,Watershed Restoration Project Report: <a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Comox River/ Oyster River,2000,2000,Oyster River Enhancement Society (ORES),"Nigel Ross and Warren Warting.  International Forest Products Ltd (Interfor), and Fisheries and Oceans Canada (FOC)","$109,000 ",Watershed Restoration Program,"The Oyster River is a high energy, coastal stream, subject to erratic flow regimes, and bank instability due to historic logging practices.",#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,Coho Salmon (Oncorhynchus kisutch),Create a stable spawning and rearing habitat in the lower Oyster River,,"‚Ä¢ The Arthur Mayse Side Channel was constructed measuring 600m long with a wetted area of approximately 5000 m2.  
‚Ä¢ The channel is built with structures that salmonids use as habitat.
‚Ä¢ Deep pools, shallow bubbling rifles to mix oxygen in the water, undercut banks, boulders and LWD, such as trees and stumps.",,,"This channel can support 10,000 coho fry based on FOC bio-standards of two fry /m2",Over the past 10 years several side channels have been made in the middle Oyster reaches,
34,Sarita River Watershed Restoration Program,48.890111,-124.994472,Watershed Restoration Project Report: <a href='https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing' rel='nofollow ugc' target='_self'>https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing</a>,Sarita River/ Sarita River,2000,2000,Huu-ay-aht First Nation,"Stephan Ochman,, and Weyerhaeuser","$204,500 ",Watershed Restoration Program,Logging along the mainstem in the 1950's and 1960's left bank or not riparian buffer along most of the fish bearing portions of the stream.  SOme areas in the upper watershed suffered from recent (1995) clear cut logging down to the streambank and display serious impairment.,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Chinook Salmon (Oncorhynchus tshawytscha), Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka), Pink Salmon (Oncorhynchus gorbuscha), Steelhead Trout (winter run) (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char (Salvelinus malma).","Improve and create fish habitat for salmonids by building LWD structures, riffles and side channels",,"‚Ä¢ Overall, 140 LWD with and without root wads and some 500 boulders averaging 0.8m in diameter were used to build 37 LWD structures in three reaches.
‚Ä¢ All LWD and boulders were airlifted and dropped in position by a helicopter
‚Ä¢  An excavator was used to build a 150m long extension side channel
‚Ä¢ The bern was seeded and most upstream section of the bern was covered with curlex matting
‚Ä¢ A log jam was powered by removing small woody debris and placing it on the banks",,,"1.1km of instream work in Sabrina Creek
0.4km of instream work in Hunter Creek
0.5km instream work in South Sarita River
150 side channel was constructed in South Sarita River",,"in 2001, Proposed work include LWD structures in 6 upstream reaches"
35,Zeballos River Side Channel,50.004083,-126.846889,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Zeballos River/ Lower Zeballos River,2000,2000,,"Village of Zeballos, Zeballos FIsh and Wildlife Association, Ehattesaht Band, Ministry of Environment, Lands and Parks-water management Branch, Graham Hill and Shannon Anderson.  ","$177,000 ",Watershed Restoration Program,,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Chinook Salmon (Oncorhynchus tshawytscha), Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka), Pink Salmon (Oncorhynchus gorbuscha),",Develop side channel to provide spawning and rearing habitat for all salmon species,,"‚Ä¢ 750 m side channel was excavated
‚Ä¢ A 150 m flood protection dyke was constructed using excavated gravel
‚Ä¢ A large armored notched weir was built in the dike to allow natural flood volumes to pass into the channel
‚Ä¢ Riprap was applied to the channel sides and dyke
‚Ä¢ The channel features a 40 m island, heavily rock armoured banks several deep side ponds, cut banks, and ballasted cross logs every 25m",,,750m long channel provides about 3500 m2 of wetted habitat,,
36,Quatze River,50.686278,-127.486056,"Website: http://www.quatsehatchery.ca/habitat-restoration
Report: https://drive.google.com/file/d/1L-jRkyfHEpyvw4EG4su4Y8JnHfhmkXfL/view?usp=sharing",Quatse River/ Quatse River,2004,2009,Northern Vancouver Island Salmonid Enhancement Association (NVISEA),,"$135,882.28
$31,166.17(2009)","Pacific Salmon Foundation, BHP-Billiton, Habitat Conservation Trust Fund, Greater Georgia Basin Steelhead Recovery Program, Ministry of Transportation, B.C. Hydro, Kwakiutl First Nation, Port Hardy Fish and Wildlife Club and Weyerhaueser. Community in-kind contributions came from Boris the Mechanic, K.Pearson Contracting, RockPro, Spike Top Cedar Products, Mill and Timber Products, JMC Forest Maintenance and the Quatse River Campground.",,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch), Steelhead Trout (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii) and Rainbow Trout (Oncorhynchus mykiss),","- The rehabilitation designs target primarily the rearing and overwintering habitats of salmonids.
Secondarily, the structures will stabilize the channel and reduce erosion.
- In 2009 Maintenance of previous restoration work and erosion control works, with the addition of LWD and ballast rock groyne structures, to protect structures previously constructed in 2005.",,"‚Ä¢ 168 LWD pieces, 63 rootwads and 411 boulders were added to enhance salmon habitat in the Quatse River.
‚Ä¢  In 2009 32 pieces of LWD and 74 ballast boulders, used to construct six LWD and ballast boulder fish habitat and bank protection structures.",,,"This project created approximately 13,570 square metres of enhanced habitat",,
37,Nixon Creek Off-channel Habitat,48.886948,-124.386193,Watershed Restoration Project Report: <a href='https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render</a>,Cowichan River/ Nixon Creek,1997,1998,"Ministry of Environment, Lands and Parks","Deborah Epps, Russ Doucet, Mel Sheng, and
Graham Hill.","$74,564.00 ",Watershed Restoration Program,,"The salmonid habitat degradation of Nixon Creek is not unique in the Cowichan Valley, which has been impacted by decades of logging. Most of the watershed was logged about 40 years ago. Logging was conducted for the most part, to the stream‚Äôs edge, with no streamside buffers maintained. Overall, logging has caused an increase in the magnitude of flood flow rates which has accelerated bank erosion and caused excess gravel to be deposited in the lower reaches of the creek. Because of this aggradation, creek sections experience subsurface flow for up to three months of the year. For fish, the result is a decrease in stable spawning and rearing habitat, both in the mainstem, and in the off-channel habitat area that becomes inaccessible from the mainstem during periods of low flow.",Coastal Western Hemlock biogeoclimatic (BEC) zone,"A majority of the Cowichan River watershed isprivately owned byTimberwest Ltd. A Few smallblocks through the lower valley are crown land(TFL 46, managed by Timberwest). The areaselected on Nixon Creek for rehabilitation fallswithin the TFL 46 boundary.",Logging along the mainstem in the 1950's and 1960's left bank with not riparian buffer along most of the fish bearing portions of the stream.  SOme areas in the upper watershed suffered from recent (1995) clear cut logging down to the streambank and display serious impairment.,"To increase stable off-channel habitat forspawning and rearing salmonids, by extendingand complexing existing flood and relic sidechannel habitat on Nixon Creek.",,"‚Ä¢ In 1997 a 150 m test channel was excavated. This channel was built to a width of 3-5 m, and a depth of 2-3 m.  
‚Ä¢ In 1998 the channel was extended upstream an additional 175 m.  
‚Ä¢ A 75 m secondary channel was also built for a total project length of 400 m and area of about 1400 m2.
‚Ä¢ Both channels were heavily complexed with large woody debris. 
‚Ä¢ Approximately 175 rootwads were imported from a nearby clear-cut logged area, and placed in the channels to provide woody debris habitat for salmonids.",,,"Approximately 1400 m2 of salmonid spawning and rearing habitat was created. At an expected density of 1-3 juveniles per m2, this project could produce 1400 to 4200 juvenile salmonids annually.",,
